"Coin","Symbol","Type","Marketcap","Electrical_Power","Electricity_Consumption_(annualised)","CO2_Emissions_(annualised)"
"Bitcoin","btc","PoW","$1,955,659,623,788","163.812 TWh","164.8 TWh","70.0 Mt"
"Ethereum","eth","PoS","$332,456,292,674","0.006052284 TWh","0.0060310233 TWh","0.0019204495 Mt"
"XRPL","xrp","Other1","$152,585,452,892","0.000456396 TWh","0.0004617433 TWh","0.000190534 Mt"
"BNB Chain","bnb","PoS","$96,534,792,840","0.000007884 TWh","0.0000115294 TWh","0.0000041243 Mt"
"Solana","sol","PoS","$85,573,810,561","0.01693355556 TWh","0.0168122433 TWh","0.005170125 Mt"
"USDC","usdc","Token","$56,362,907,060","N/A","0.0000160891 TWh","0.0000050689 Mt"
"Dogecoin","doge","PoW","$37,697,628,983","8.76 TWh","8.7 TWh","3.7 Mt"
"Cardano","ada","PoS","$29,042,752,059","0.000517836 TWh","0.0005143862 TWh","0.0001789963 Mt"
"TRON","trx","PoS","$21,095,421,778","0.003526776 TWh","0.003512621 TWh","0.0013224276 Mt"
"Wrapped Bitcoin","wbtc","Token","$12,686,499,079","Missing CCRI analysis","Missing CCRI analysis","Missing CCRI analysis"
"Chainlink","link","Token","$11,802,666,351","N/A","0.0000003115 TWh","0.0000000992 Mt"
"Sui","sui","PoS","$10,709,527,122","0.000839208 TWh","0.0008389908 TWh","0.0003850968 Mt"
"Avalanche","avax","PoS","$10,619,569,726","0.003217872 TWh","0.0033017006 TWh","0.00123279 Mt"
"Stellar","xlm","Other2","$10,377,849,893","0.000080592 TWh","0.0000837664 TWh","0.0000267816 Mt"
"Litecoin","ltc","PoW","$10,175,304,335","2.628 TWh","3.0 TWh","1.3 Mt"
"Shiba Inu","shib","Token","$9,274,847,910","N/A","0.0000004704 TWh","0.0000001498 Mt"
"TON","ton","PoS","$9,172,037,631","0.006300192 TWh","0.006340392 TWh","0.0018619935 Mt"
"UNUS SED LEO","leo","Token","$9,018,671,142","N/A","0.0000000029 TWh","0.0000000009 Mt"
"Polkadot","dot","PoS","$8,003,286,742","0.000875124 TWh","0.0008752472 TWh","0.0002655841 Mt"
"Bitcoin Cash","bch","PoW","$6,508,494,205","0.876 TWh","0.7 TWh","0.3 Mt"
"Uniswap","uni","Token","$5,619,652,332","N/A","0.0000229959 TWh","0.000007324 Mt"
"Near Protocol","near","PoS","$4,198,838,527","0.0030015 TWh","0.0030362709 TWh","0.001232709 Mt"
"Aave","aave","Token","$3,892,017,649","N/A","0.000001089 TWh","0.0000003469 Mt"
"Ondo","ondo","Token","$3,800,216,516","N/A","0.0000003338 TWh","0.0000001063 Mt"
"Aptos","apt","PoS","$3,688,223,865","0.000365532 TWh","0.0003654572 TWh","0.0001367074 Mt"
"DAI","dai","Token","$3,490,983,564","N/A","0.0000003167 TWh","0.0000001009 Mt"
"VeChain","vet","Other3","$2,687,784,713","0.000084972 TWh","0.0000840753 TWh","0.0000359173 Mt"
"Polygon","pol","PoS","$2,637,508,570","N/A","0.0001648757 TWh","0.0000695 Mt"
"Algorand","algo","PoS","$2,363,056,247","0.001729224 TWh","0.0016028921 TWh","0.0005456987 Mt"
"Filecoin","fil","PoS","$2,222,219,710","0.220206252 TWh","0.2223906099 TWh","0.1110426041 Mt"
"Cosmos","atom","PoS","$2,181,278,072","0.000742092 TWh","0.00073842 TWh","0.0003389348 Mt"
"Arbitrum","arb","PoS","$2,175,754,809","N/A","0.0020434877 TWh","0.0009379529 Mt"
"Optimism","op","PoS","$1,889,556,890","N/A","0.0002254065 TWh","0.0000994721 Mt"
"Injective","inj","PoS","$1,613,780,186","0.000127896 TWh","0.0001278134 TWh","0.0000586663 Mt"
"Quant","qnt","Token","$1,423,991,010","N/A","0.0000000402 TWh","0.0000000128 Mt"
"The Graph","grt","Token","$1,377,522,951","N/A","0.000000044 TWh","0.000000014 Mt"
"Tezos","xtz","PoS","$927,299,250","0.000247908 TWh","0.0002487435 TWh","0.0000753737 Mt"
"The Sandbox","sand","Token","$920,001,543","N/A","0.0000000314 TWh","0.00000001 Mt"
"IOTA","iota","PoS","$853,766,873","0.00003942 TWh","0.0000517995 TWh","0.0000166842 Mt"
"Bitcoin SV","bsv","PoW","$759,507,586","0.0 TWh","0.1 TWh","0.0 Mt"
"Curve DAO","crv","Token","$682,454,744","N/A","0.0000001037 TWh","0.000000033 Mt"
"ApeCoin","ape","Token","$590,243,847","N/A","0.000000076 TWh","0.0000000242 Mt"
"Chiliz","chz","PoS","$503,352,273","0.00000876 TWh","0.0000087486 TWh","0.0000040156 Mt"
"ZkSync","zk","PoS","$398,976,249","N/A","0.0001575835 TWh","0.0000723094 Mt"
"Celo","celo","PoS","$253,415,991","0.000031536 TWh","0.0000309752 TWh","0.0000109105 Mt"
"Siacoin","sc","PoW","$229,208,725","0.0 TWh","0.1 TWh","0.0 Mt"
"Casper","cspr","PoS","$171,131,386","0.000058692 TWh","0.0000589062 TWh","0.0000173572 Mt"
"Dash","dash","PoW","N/A","0.0 TWh","0.1 TWh","0.0 Mt"
"Echelon Prime","prime","Token","N/A","N/A","0.0000000506 TWh","0.0000000161 Mt"
"Binance USD","busd","Token","N/A","N/A","0.0000000127 TWh","0.0000000041 Mt"
"Decentraland","mana","Token","N/A","N/A","0.0000000379 TWh","0.0000000121 Mt"
"Axie Infinity","axs","Token","N/A","N/A","0.0000000248 TWh","0.0000000079 Mt"
"Basic Attention","bat","Token","N/A","N/A","0.0000000169 TWh","0.0000000053 Mt"